protocol,target_city,target,comparison_budget,n_calibration,n_eval,calibration_anchor_ids,mae,rmse,r2,spearman,kendall,design_regret_kwh_m2,top_recovery
1_shot_global_bias,Konya,heating,1,1,999,base_0948,6.15017161043015,8.123214234316423,0.952247204570779,0.9807763153935497,0.8878718397756475,0.0,0.68
1_shot_global_bias,Konya,cooling,1,1,999,base_0948,1.9191778533241388,3.543001480377678,0.8692593894872045,0.9756228131939553,0.8828608167285523,0.0,0.96
1_shot_global_bias,Konya,total,1,1,999,base_0948,7.7498971372087935,11.24906477141783,0.8834857046652382,0.9528101127179283,0.8262671489124396,0.8328520000000026,0.94
1_shot_raw_relative,Konya,heating,1,1,999,base_0948,3.5145506573047554,4.739241840378305,0.9837459823135523,0.9956038924696237,0.9463832570044997,0.0,0.88
1_shot_raw_relative,Konya,cooling,1,1,999,base_0948,0.8169869596663227,1.037912970564933,0.9887800810529329,0.9983305349437612,0.9660983628919503,0.15410400000000024,0.96
1_shot_raw_relative,Konya,total,1,1,999,base_0948,3.829432871355898,4.997228024452409,0.9770065196692543,0.9898563613713912,0.9216250318454728,0.8328520000000026,0.92
zero_shot_absolute_aligned_3shot,Konya,heating,3,0,997,base_0948|base_0945|base_0724,6.149141965744836,8.124117383728079,0.9523030077699335,0.9808285711372716,0.8880295504988863,0.0,0.68
zero_shot_absolute_aligned_3shot,Konya,cooling,3,0,997,base_0948|base_0945|base_0724,2.181872439531768,3.1644966062696422,0.8958330928103883,0.9755740892910765,0.8827567038464793,0.0,0.96
zero_shot_absolute_aligned_3shot,Konya,total,3,0,997,base_0948|base_0945|base_0724,8.002729042332119,10.877716982521441,0.8912070868948718,0.9528498817068344,0.8264029034895852,0.8328520000000026,0.94
3_shot_global_bias,Konya,heating,3,3,997,base_0948|base_0945|base_0724,6.095598659751312,8.329195690267412,0.9498645698814695,0.9808285711372716,0.8880295504988863,0.0,0.68
3_shot_global_bias,Konya,cooling,3,3,997,base_0948|base_0945|base_0724,1.844578211569907,3.454989038238733,0.875830809773332,0.9755740892910765,0.8827567038464793,0.0,0.96
3_shot_global_bias,Konya,total,3,3,997,base_0948|base_0945|base_0724,7.725471372812187,11.419728241883385,0.8800951821531208,0.9528498817068344,0.8264029034895852,0.8328520000000026,0.94
3_shot_raw_relative,Konya,heating,3,3,997,base_0948|base_0945|base_0724,3.666542381375021,5.034717389585288,0.9816815463940903,0.9947385072376753,0.9425545713445559,0.0,0.84
3_shot_raw_relative,Konya,cooling,3,3,997,base_0948|base_0945|base_0724,0.6114045898172955,0.7988059991579258,0.993362521353753,0.9987617680770056,0.971085948608879,0.15410400000000024,0.96
3_shot_raw_relative,Konya,total,3,3,997,base_0948|base_0945|base_0724,3.5279640928675144,4.813538535443346,0.9786963508269084,0.9899181451929978,0.9230301345804484,0.8328520000000026,0.94
zero_shot_absolute,Sanliurfa,heating,0,0,1000,,31.088043675696362,33.289165610764705,-0.9758425175877494,0.9699310659310659,0.8563563563563564,0.0,0.68
zero_shot_absolute,Sanliurfa,cooling,0,0,1000,,71.02408704809724,71.63580290360802,-18.85721700203263,0.9150035310035309,0.736860860860861,4.874218000000013,0.18
